RIVER,HABITAT,SITE,REPLICATION,otu1,otu2,otu3,otu4,otu5,otu6,otu7,otu8,otu9,otu10,otu11,otu12,otu13,otu14,otu15,otu16,otu17,otu18,otu19,otu20,otu21,otu22,otu23,otu24,otu25,otu26,otu27,otu28,otu29,otu30,otu31,otu32,otu33,otu34,otu35,otu36,otu37,otu38,otu39,otu40,otu41,otu42,otu43,otu44,otu45,otu46,otu47,otu48,otu49,otu50,otu51,otu52,otu53,otu54,otu55,otu56,otu57,otu58,otu59,otu60,otu61,otu62,otu63,otu64,otu65,otu66,otu67,otu68,otu69,otu70,otu71,otu72,otu73,otu74,otu75,otu76,otu77,otu78,otu79,otu80,otu81,otu82,otu83,otu84,otu85,otu86,otu87,otu88,otu89,otu90,otu91,otu92,otu93,otu94,otu95,otu96,otu97,otu98,otu99,otu100,otu101,otu102,otu103,otu104,otu105,otu106,otu107,otu108,otu109,otu110,otu111,otu112,otu113,otu114,otu115,otu116,otu117,otu118,otu119,otu120,otu121,otu122,otu123,otu124,otu125,otu126,otu127,otu128,otu129,otu130,otu131,otu132,otu133,otu134,otu135,otu136,otu137,otu138,otu139,otu140,otu141,otu142,otu143,otu144,otu145,otu146,otu147,otu148,otu149,otu150,otu151,otu152
EC,FAST,1,1,0.528037452,0.00E+00,0.001258138,1.50E-01,1.46E-05,9.37E-02,0.000950918,0.000526662,0.009158072,0.00058518,0.000351108,0.000512033,0.00E+00,0.00E+00,0.000321849,0.000804623,3.80E-04,2.93E-04,7.31E-05,0.000204813,4.39E-05,0.00E+00,0.009026406,4.39E-05,2.49E-04,1.46E-05,1.46E-04,0.002209056,8.78E-05,1.00E-02,5.85E-05,1.46E-04,0.000175554,0.000102407,0.00E+00,4.39E-05,1.12E-02,8.78E-05,2.93E-05,1.46E-05,5.81E-03,1.90E-04,0.00E+00,1.46E-05,0.00E+00,0.000629069,0.00E+00,0.00E+00,4.39E-05,0.000555921,2.93E-05,1.46E-05,8.78E-05,1.17E-04,0.004505888,1.17E-04,0.000102407,3.67E-03,0.00E+00,0.00E+00,0.00E+00,1.17E-04,1.46E-04,0.00E+00,1.49E-03,1.35E-03,2.19E-04,9.22E-04,0.000716846,1.46E-05,8.05E-04,7.31E-05,0.00E+00,1.17E-04,7.31E-05,2.93E-05,0.00E+00,2.93E-04,2.93E-05,4.39E-05,1.17E-04,0.00E+00,1.46E-05,8.78E-05,7.31E-05,0.000629069,4.39E-05,7.31E-05,1.46E-05,7.31E-05,1.46E-05,1.90E-04,2.00E-03,0.00E+00,5.85E-05,0,1.46E-05,0.00E+00,3.22E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,2.78E-04,1.61E-04,1.61E-04,0.00E+00,1.90E-04,0.00E+00,0.00E+00,1.46E-05,2.93E-05,1.46E-05,1.02E-04,0.00E+00,0.00E+00,9.80E-04,1.46E-05,0.00E+00,1.46E-05,1.46E-05,1.46E-05,1.46E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.93E-05,0.00E+00,0.00E+00,2.93E-05,1.46E-05,2.93E-05,0,0,0.00E+00,0.00E+00,1.46E-05,3.95E-04,1.18E-03,0.00E+00,1.46E-05,1.76E-04,2.93E-05,0.00E+00,1.46E-04,3.07E-04,0.00E+00,0.00E+00,0.00E+00
EC,FAST,2,2,0.01503669,2.53E-03,0.013472874,4.33E-03,4.81E-04,2.29E-03,0.002165283,0.003127631,0.001082642,0.001202935,0.002526164,0.060146758,0.00E+00,1.20E-04,0.000240587,0.000721761,3.60E-02,0.00E+00,9.62E-04,0.000842055,1.32E-03,0.00E+00,0.000601468,3.00E-02,2.86E-02,1.20E-04,0.00E+00,0.002526164,2.79E-02,6.01E-04,1.17E-02,0.00E+00,0.000842055,0.000601468,1.68E-02,1.20E-04,2.41E-04,1.68E-03,1.52E-02,0.00E+00,4.81E-04,4.45E-03,0.00E+00,0.00E+00,0.00E+00,0.000721761,1.20E-04,8.18E-03,1.20E-04,0.000601468,3.61E-04,1.20E-04,2.41E-04,1.49E-02,0.000120294,1.13E-02,0.000120294,1.20E-04,0.00E+00,0.00E+00,0.00E+00,1.03E-02,5.29E-03,8.90E-03,3.37E-03,0.00E+00,0.00E+00,3.97E-03,0.001443522,4.81E-04,0.00E+00,1.06E-02,0.00E+00,9.74E-03,7.58E-03,2.41E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.89E-03,0.00E+00,0.000962348,1.20E-04,0.00E+00,8.78E-03,3.61E-04,2.41E-04,1.92E-03,0.00E+00,0.00E+00,7.46E-03,0.000721761,0.00E+00,4.69E-03,2.41E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,1.20E-04,3.61E-04,0.00E+00,1.32E-03,1.32E-03,0.00E+00,0.00E+00,3.85E-03,4.09E-03,0.00E+00,0.00E+00,0.00E+00,3.61E-04,1.20E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.57E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.20E-04,0.00E+00,1.20E-04,0.00E+00,4.81E-04,6.13E-03,0,0,0.00E+00,0.00E+00,1.20E-04,2.41E-04,1.56E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.41E-04,0.00E+00,2.41E-04,0.00E+00,1.20E-04,0.00E+00
EC,FAST,3,3,0.242213075,2.98E-03,0.036041876,6.03E-02,4.21E-04,4.08E-02,0.006190646,0.007778822,0.006514764,0.005315529,0.006611999,0.019771173,3.24E-05,1.30E-04,0.00129647,0.004667293,6.81E-03,9.72E-05,2.01E-03,0.001620588,2.98E-03,6.48E-05,0.004278352,2.92E-04,6.71E-03,1.62E-04,2.27E-04,0.007616763,2.85E-03,4.80E-03,3.14E-03,3.57E-04,0.001426117,0.001523353,3.66E-03,1.30E-04,3.95E-03,3.89E-03,3.44E-03,9.72E-05,4.63E-03,5.02E-03,2.92E-04,3.24E-05,3.24E-05,0.002236411,3.24E-05,2.59E-03,0.00E+00,0.002139176,1.07E-03,9.08E-04,9.08E-04,2.40E-03,0.000486176,1.88E-03,0.000356529,6.48E-05,6.48E-05,6.48E-05,0.00E+00,2.59E-03,2.63E-03,6.48E-05,5.70E-03,2.92E-04,3.24E-05,2.20E-03,0.002560529,9.40E-04,4.21E-04,2.07E-03,9.72E-05,2.17E-03,9.72E-05,8.75E-04,0.00E+00,3.24E-05,6.48E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.66E-03,0.00E+00,0.002009529,0.00E+00,3.24E-05,2.14E-03,2.92E-04,0.00E+00,2.17E-03,0.00E+00,0.00E+00,3.34E-03,0.001004765,0.00E+00,2.07E-03,1.30E-04,0.00E+00,1.62E-04,2.92E-04,0.00E+00,0,0.00E+00,4.86E-04,8.75E-04,0.00E+00,2.04E-03,1.23E-03,3.24E-05,0.00E+00,7.45E-04,1.13E-03,1.94E-04,0.00E+00,0.00E+00,1.30E-04,2.07E-03,0.00E+00,6.48E-05,0.00E+00,0.00E+00,1.62E-03,6.48E-05,0.00E+00,9.72E-05,4.21E-04,3.24E-05,3.57E-04,0.00E+00,5.83E-04,1.30E-04,8.75E-04,1.91E-03,0,0,0.00E+00,0.00E+00,9.72E-05,1.23E-03,3.21E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.21E-04,0.00E+00,3.24E-05,0.00E+00
EC,FAST,4,4,0.503850249,2.69E-04,0.002409909,1.26E-01,7.85E-05,8.35E-02,0.00089671,0.001311439,0.002757384,0.000526817,0.000773413,0.008473911,2.24E-05,3.36E-05,0.000459564,0.000963964,3.03E-03,1.12E-05,2.24E-04,0.000190551,3.36E-05,0.00E+00,0.002028807,4.82E-04,3.16E-03,1.12E-05,8.97E-05,0.006949504,2.23E-03,1.08E-02,8.29E-04,8.97E-05,0.000123298,0.000190551,3.59E-04,1.12E-05,8.90E-03,1.12E-04,1.15E-03,0.00E+00,4.41E-03,1.48E-03,3.36E-05,0.00E+00,1.12E-05,0.001345065,1.12E-05,1.01E-03,1.35E-04,0.000672533,4.48E-05,5.60E-05,5.60E-05,9.86E-04,0.000851875,1.09E-03,0.000224178,1.35E-04,0.00E+00,0.00E+00,1.12E-05,1.03E-03,1.01E-03,1.79E-04,2.11E-03,3.81E-04,2.24E-05,1.61E-03,0.002432326,1.12E-05,2.58E-04,6.28E-04,1.12E-05,6.61E-04,1.15E-03,1.68E-04,0.00E+00,3.25E-04,1.01E-04,2.24E-05,1.12E-05,0.00E+00,0.00E+00,3.47E-04,1.12E-05,0.002264193,5.60E-05,2.24E-05,4.60E-04,8.97E-05,3.36E-05,6.95E-04,4.48E-05,0.00E+00,8.29E-04,0,0.00E+00,1.35E-04,1.23E-04,0.00E+00,3.36E-05,0.00E+00,0.00E+00,0,0.00E+00,2.24E-05,1.91E-04,0.00E+00,2.13E-04,2.47E-04,0.00E+00,0.00E+00,3.03E-04,1.35E-04,3.36E-05,1.12E-05,0.00E+00,3.36E-05,8.41E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.35E-04,5.60E-05,0.00E+00,1.12E-05,0.00E+00,1.12E-05,4.48E-05,0.00E+00,8.97E-05,1.12E-05,1.12E-05,5.72E-04,0,0,0.00E+00,0.00E+00,0.00E+00,1.24E-03,1.79E-04,0.00E+00,8.97E-05,2.24E-05,0.00E+00,3.81E-04,2.24E-05,1.23E-04,0.00E+00,0.00E+00,1.12E-05
EC,FAST,5,5,0.339290862,1.73E-03,0.005044681,7.94E-02,1.44E-04,6.39E-02,0.001729605,0.002017873,0.007062554,0.000864803,0.000864803,0.023205535,0.00E+00,0.00E+00,0.000144134,0.000576535,9.08E-03,0.00E+00,1.44E-04,0.000432401,0.00E+00,0.00E+00,0.004900548,0.00E+00,9.08E-03,0.00E+00,0.00E+00,0.00576535,1.61E-02,7.78E-03,7.93E-03,0.00E+00,0.000720669,0,1.56E-02,0.00E+00,5.48E-03,1.44E-04,5.77E-03,0.00E+00,4.76E-03,1.73E-03,0.00E+00,0.00E+00,1.44E-04,0.000720669,0.00E+00,4.32E-03,5.77E-04,0.000720669,0.00E+00,1.44E-04,0.00E+00,2.74E-03,0.002882675,3.60E-03,0.000576535,5.77E-04,0.00E+00,0.00E+00,0.00E+00,4.47E-03,4.76E-03,0.00E+00,2.31E-03,1.44E-03,0.00E+00,5.33E-03,0.000864803,0.00E+00,1.44E-04,1.59E-03,0.00E+00,2.88E-03,1.30E-03,4.32E-04,0.00E+00,0.00E+00,1.44E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.88E-04,0.00E+00,0.001729605,1.44E-04,0.00E+00,1.44E-03,0.00E+00,1.44E-04,2.88E-04,0.00E+00,0.00E+00,2.16E-03,0,0.00E+00,4.61E-03,1.44E-04,0.00E+00,0.00E+00,1.44E-04,0.00E+00,0,0.00E+00,1.44E-04,0.00E+00,0.00E+00,0.00E+00,1.44E-04,0.00E+00,0.00E+00,1.87E-03,7.21E-04,0.00E+00,0.00E+00,0.00E+00,1.12E-02,5.77E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.89E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.44E-04,0.00E+00,1.44E-04,0.00E+00,0.00E+00,1.44E-03,0,0,0.00E+00,0.00E+00,0.00E+00,1.15E-03,4.32E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.88E-04,0.00E+00,0.00E+00,0.00E+00
EC,SLOW,6,1,0.000433283,5.20E-05,0.174457096,1.56E-04,0.00E+00,5.20E-05,0.042219103,0.041421862,0.076691104,0.042912356,0.039255446,0.000935891,1.73E-05,5.20E-05,0.001369175,0.009098945,8.67E-05,2.65E-03,1.28E-02,0.007279156,1.24E-02,0.00E+00,0.015442209,1.21E-04,2.08E-04,5.20E-05,3.69E-03,0.000866566,1.73E-05,0.00E+00,1.39E-04,4.09E-03,0.006637897,0.002374391,1.73E-05,7.97E-04,0.00E+00,3.47E-05,3.47E-05,3.22E-03,1.91E-04,1.25E-03,0.00E+00,5.37E-04,3.47E-05,0.001161199,0.00E+00,1.04E-04,3.47E-05,0.004072861,4.80E-03,4.25E-03,8.91E-03,8.67E-05,0.008319035,6.93E-05,0.008960294,5.03E-03,2.77E-04,1.73E-05,0.00E+00,5.20E-05,8.67E-05,1.73E-05,5.20E-05,9.86E-03,2.60E-04,0.00E+00,0.00039862,2.91E-03,5.89E-04,5.20E-05,1.73E-05,6.93E-05,1.39E-04,3.97E-03,4.16E-04,1.73E-05,2.25E-04,8.67E-04,2.25E-04,0.00E+00,8.84E-04,8.15E-04,1.39E-04,0.00025997,0.00E+00,8.67E-05,1.73E-05,1.70E-03,0.00E+00,1.01E-03,3.28E-03,0.00E+00,1.73E-05,0.002790343,0.00E+00,1.73E-05,5.37E-04,0.00E+00,3.47E-05,2.58E-03,0.00E+00,0,1.37E-03,5.86E-03,7.80E-04,1.73E-04,4.16E-04,4.33E-04,1.73E-05,1.16E-03,0.00E+00,0.00E+00,5.32E-03,2.60E-04,3.99E-04,0.00E+00,1.73E-04,2.25E-04,0.00E+00,4.51E-04,0.00E+00,3.47E-05,1.44E-03,0.00E+00,1.42E-03,1.92E-03,1.73E-05,2.67E-03,2.77E-04,9.88E-04,4.51E-04,2.31E-03,0.00E+00,0,0,6.93E-05,1.73E-04,1.89E-03,6.93E-05,0.00E+00,3.64E-04,0.00E+00,1.73E-05,1.01E-03,1.73E-05,3.47E-05,2.60E-04,0.00E+00,6.93E-05,1.73E-05
EC,SLOW,7,2,0.005216591,2.30E-04,0.140029663,1.66E-03,1.02E-04,8.69E-04,0.040709866,0.035800133,0.052805196,0.031836547,0.038843144,0.006929883,5.11E-05,5.11E-05,0.003426584,0.009640464,1.10E-03,1.15E-03,1.10E-02,0.007901601,9.05E-03,2.56E-05,0.009461464,3.07E-04,7.67E-04,1.79E-04,2.58E-03,0.003375441,3.32E-04,1.02E-04,1.76E-03,3.86E-03,0.005907022,0.00319644,2.56E-04,7.42E-04,2.30E-04,1.28E-04,7.16E-04,1.36E-03,6.65E-04,4.27E-03,0.00E+00,6.65E-04,5.11E-05,0.004347159,1.53E-04,1.07E-03,0.00E+00,0.005012019,4.12E-03,4.63E-03,5.04E-03,3.84E-04,0.00603488,3.84E-04,0.002301437,8.18E-03,2.56E-04,2.56E-05,0.00E+00,2.05E-04,6.39E-04,1.28E-04,2.05E-04,6.90E-03,7.67E-05,2.56E-05,0.001738864,2.66E-03,1.51E-03,2.56E-04,2.56E-05,3.07E-04,2.56E-04,3.50E-03,8.44E-04,2.56E-05,7.67E-05,3.07E-04,2.56E-05,2.56E-05,1.53E-04,2.53E-03,0.00E+00,0.000997289,0.00E+00,1.53E-04,3.07E-04,1.76E-03,0.00E+00,1.99E-03,6.37E-03,0.00E+00,1.02E-04,0.002531581,0.00E+00,1.79E-04,7.42E-04,0.00E+00,5.11E-05,2.40E-03,2.56E-05,0,1.84E-03,2.61E-03,1.84E-03,5.11E-05,1.07E-03,2.15E-03,5.11E-05,1.76E-03,4.09E-04,5.11E-05,1.05E-03,2.56E-05,6.65E-04,2.56E-05,4.86E-04,2.30E-04,0.00E+00,3.32E-04,0.00E+00,1.53E-04,1.43E-03,0.00E+00,1.23E-03,1.18E-03,0.00E+00,1.74E-03,5.63E-04,7.42E-04,2.30E-04,1.99E-03,5.11E-05,0,0,3.32E-04,2.56E-05,2.43E-03,4.86E-04,1.79E-04,6.65E-04,0.00E+00,0.00E+00,2.56E-04,2.56E-05,2.56E-05,8.69E-04,0.00E+00,1.02E-04,0.00E+00
EC,SLOW,8,3,0.000934126,7.54E-04,0.219896887,3.77E-04,3.95E-04,2.34E-04,0.045754217,0.042466812,0.021538793,0.031472865,0.044622487,0.004760451,0.00E+00,2.51E-04,0.003772433,0.011892144,1.20E-03,1.98E-04,1.86E-02,0.007095766,1.48E-02,1.80E-05,0.001095802,4.67E-04,6.65E-04,8.26E-04,1.89E-03,0.005137694,5.39E-05,1.80E-05,8.44E-04,2.23E-03,0.008227496,0.003053874,3.95E-04,2.16E-04,1.80E-05,3.59E-05,4.31E-04,5.39E-04,4.49E-04,4.22E-03,2.51E-04,1.44E-04,2.51E-04,0.006017928,3.41E-04,5.21E-04,0.00E+00,0.003143694,7.83E-03,6.66E-03,4.29E-03,4.67E-04,0.000215568,4.85E-04,0.003413153,3.43E-03,1.80E-05,1.80E-04,0.00E+00,3.95E-04,4.85E-04,1.98E-04,2.51E-04,2.87E-04,1.80E-05,3.59E-05,0.002209568,7.38E-03,3.95E-04,2.87E-04,3.23E-04,3.41E-04,1.08E-04,4.96E-03,7.19E-05,0.00E+00,8.98E-05,2.16E-04,0.00E+00,1.80E-05,7.19E-05,3.97E-03,0.00E+00,0.00122155,0.00E+00,5.39E-05,2.51E-04,1.67E-03,0.00E+00,3.18E-03,1.87E-03,0.00E+00,3.59E-05,0.00407782,0.00E+00,3.59E-05,2.51E-04,0.00E+00,3.59E-05,4.58E-03,1.80E-05,0,8.98E-05,9.70E-04,4.38E-03,0.00E+00,9.34E-04,1.56E-03,1.80E-05,5.39E-05,1.62E-04,1.80E-04,1.69E-03,0.00E+00,1.80E-05,0.00E+00,3.05E-04,5.39E-05,0.00E+00,1.26E-04,0.00E+00,1.80E-04,1.15E-03,0.00E+00,1.67E-03,5.28E-03,1.44E-04,2.46E-03,0.00E+00,5.57E-04,3.95E-04,2.32E-03,7.19E-05,0,0,1.80E-05,3.59E-05,3.09E-03,7.90E-04,1.80E-05,3.59E-05,1.44E-04,1.80E-05,7.19E-05,0.00E+00,3.59E-05,3.59E-04,0.00E+00,5.39E-05,0.00E+00
EC,SLOW,9,4,0.153766826,1.60E-03,0.01297221,5.73E-02,4.34E-04,2.62E-02,0.003582284,0.002469605,0.002496743,0.002333912,0.002496743,0.057615067,0.00E+00,5.43E-05,0.000325662,0.000787017,1.70E-02,0.00E+00,9.50E-04,0.000379939,6.24E-04,1.09E-04,0.001574034,2.52E-02,8.14E-03,1.36E-04,5.43E-05,0.001628311,1.82E-03,6.00E-03,2.12E-02,1.09E-04,0.00073274,0.000841294,1.17E-03,5.43E-05,2.74E-03,3.72E-03,1.17E-02,0.00E+00,1.90E-03,2.96E-03,5.43E-05,5.43E-05,8.14E-05,0.000407078,5.43E-05,1.23E-02,8.14E-05,0.000814155,2.17E-04,2.99E-04,3.80E-04,3.50E-03,0.001384064,5.18E-03,0.00018997,1.09E-04,2.71E-05,2.71E-05,0.00E+00,2.61E-03,5.73E-03,1.13E-02,3.61E-03,4.34E-04,2.71E-05,8.14E-04,0.001031264,8.14E-05,2.17E-04,3.94E-03,5.43E-05,2.61E-03,2.88E-03,2.44E-04,1.36E-04,1.63E-04,2.71E-05,1.09E-04,0.00E+00,0.00E+00,2.71E-05,1.90E-03,5.43E-05,0.000434216,2.71E-05,8.14E-05,3.72E-03,1.63E-04,0.00E+00,1.19E-03,8.14E-05,2.71E-05,5.43E-04,0.000217108,0.00E+00,1.82E-03,5.43E-05,2.71E-05,1.90E-04,1.09E-04,5.43E-05,0,8.14E-05,1.63E-04,2.71E-04,0.00E+00,5.97E-04,1.22E-03,0.00E+00,1.36E-04,5.26E-03,5.43E-03,2.17E-04,2.71E-05,1.36E-04,1.14E-03,5.97E-04,0.00E+00,0.00E+00,2.71E-05,0.00E+00,3.53E-04,5.43E-05,0.00E+00,8.14E-05,2.71E-05,0.00E+00,8.14E-05,2.17E-04,2.17E-04,0.00E+00,2.17E-04,8.41E-04,0,0,0.00E+00,0.00E+00,7.06E-04,2.99E-04,1.52E-03,5.43E-05,3.26E-04,0.00E+00,0.00E+00,9.44E-03,0.00E+00,8.14E-05,0.00E+00,2.71E-05,0.00E+00
